x     y     z      f
0.50000 0.40000 0.10000 -0.00002
0.50000 0.40000 0.20000 -0.00002
0.50000 0.40000 0.30000 -0.00003
0.50000 0.40000 0.40000 -0.00003
0.50000 0.40000 0.50000 -0.00002
0.50000 0.40000 0.60000 0.00000
0.50000 0.40000 0.70000 0.00002
0.50000 0.40000 0.80000 0.00003
0.50000 0.40000 0.90000 0.00000
0.50000 0.50000 0.00000 -0.00000
0.50000 0.50000 0.10000 -0.00000
0.50000 0.50000 0.20000 -0.00000
0.50000 0.50000 0.30000 -0.00000
0.50000 0.50000 0.40000 -0.00000
0.50000 0.50000 0.50000 -0.00000
0.50000 0.50000 0.60000 0.00000
0.50000 0.50000 0.70000 0.00000
0.50000 0.50000 0.80000 0.00000
0.50000 0.50000 0.90000 0.00000
0.50000 0.60000 0.00000 -0.00000
0.50000 0.60000 0.10000 -0.00000
0.50000 0.60000 0.20000 -0.00000
0.50000 0.60000 0.30000 -0.00000
0.50000 0.60000 0.40000 -0.00000
0.50000 0.60000 0.50000 -0.00000
0.50000 0.60000 0.60000 0.00000
0.50000 0.60000 0.70000 0.00000
0.50000 0.60000 0.80000 0.00000
0.50000 0.60000 0.90000 0.00000
0.50000 0.70000 0.00000 -0.00000
0.50000 0.70000 0.10000 -0.00000
0.50000 0.70000 0.20000 -0.00000
0.50000 0.70000 0.30000 -0.00000
0.50000 0.70000 0.40000 -0.00000
0.50000 0.70000 0.50000 -0.00000
0.50000 0.70000 0.60000 0.00000
0.50000 0.70000 0.70000 0.00000
0.50000 0.70000 0.80000 0.00000
0.50000 0.70000 0.90000 0.00000
0.50000 0.80000 0.00000 -0.00000
0.50000 0.80000 0.10000 -0.00000
0.50000 0.80000 0.20000 -0.00000
0.50000 0.80000 0.30000 -0.00000
0.50000 0.80000 0.40000 -0.00000
0.50000 0.80000 0.50000 -0.00000
0.50000 0.80000 0.60000 0.00000
0.50000 0.80000 0.70000 0.00000
0.50000 0.80000 0.80000 0.00000
0.50000 0.80000 0.90000 0.00000
0.50000 0.90000 0.00000 0.00000
0.50000 0.90000 0.10000 0.00000
0.50000 0.90000 0.20000 0.00000
0.50000 0.90000 0.30000 0.00000
0.50000 0.90000 0.40000 0.00000
0.50000 0.90000 0.50000 0.00000
0.50000 0.90000 0.60000 0.00000
0.50000 0.90000 0.70000 0.00000
0.50000 0.90000 0.80000 0.00000
0.50000 0.90000 0.90000 0.00000
0.60000 0.00000 0.00000 -0.55902
0.60000 0.00000 0.10000 -0.55902
0.60000 0.00000 0.20000 -0.90451
0.60000 0.00000 0.30000 -0.90451
0.60000 0.00000 0.40000 -0.55902
0.60000 0.00000 0.50000 -0.00000
0.60000 0.00000 0.60000 0.55902
0.60000 0.00000 0.70000 0.90451
0.60000 0.00000 0.80000 0.90451
0.60000 0.00000 0.90000 0.55902
0.60000 0.10000 0.00000 -0.11133
0.60000 0.10000 0.10000 -0.11140
0.60000 0.10000 0.20000 -0.16417
0.60000 0.10000 0.30000 -0.16080
0.60000 0.10000 0.40000 -0.09562
0.60000 0.10000 0.50000 0.00609
0.60000 0.10000 0.60000 0.10540
0.60000 0.10000 0.70000 0.16360
